Code,Name,Symptoms,Treatments
1,Паническое расстройство,"Палюты, потливость, трепет, дыхание, страх потерять контроль, головокружение","Антидепрессантные препараты, когнитивная поведенческая терапия, методы расслабления"
2,Полип вокального шнура,"Жесткость, вокальные изменения, вокальная усталость","Голосовой отдых, речевая терапия, хирургическое удаление"
3,Синдром Тернера,"Короткий рост, Гонадальская дисгенезия, шея сетчатки, лимфеда","Гормональная терапия роста, заместительная терапия эстрогена, сердечная и почечная оценка"
4,Крипторхидизм,"Отсутствие или отсутствие яичка (яичек), пустая мошонка, меньшее или слаборазвитое яичко (яички), паховая грыжа, аномальное расположение яичка (яичек) (более высокое в паховой области)","Наблюдение и мониторинг (в случаях мягкого или переходного крипторхидизма), гормональная терапия (в целях стимулирования яичекого спуска), хирургическое вмешательство (орхиопексия) для помещения яичка (яичек) в мошонку, если это необходимо, в возрасте от 6 до 12 месяцев, открытая или лапароскопическая хирургия (в случаях высокого или устойчивого крипторхиза), яично-сосудистая протезия (в случаях отсутствия или нефункциональных яичек), регулярные последующие посещения уролога или педиатрического хирурга"
5,Отравление этиленгликолем-1,"Тошнота, рвота, боль в животе, общая болезнь, слабость, жажда, частое мочеиспускание","Меры поддержки, дезинфицирование газа, антидотное администрирование, гемодиализ"
6,Отравление этиленгликолем-2,"Метаболический ацидоз, аппетитное дыхание, быстрый сердечный ритм, путаница, головная боль, головокружение, припадки","Анализы крови, вспомогательные меры, дезинфицирование газа, антидотное управление, гемодиализ"
7,Отравление этиленгликолем-3,"Уменьшение мочи, опухоль в ногах и лодыжках, а также признаки перегрузки жидкости, серьезных повреждений почек","Меры поддержки, дезинфицирование газа, антидотное администрирование, гемодиализ"
8,Атрофический вагинит,"Вагинальная сухость, вагинальное горение, частое мочеиспускание, инфекция мочевого тракта, болезненный половой акт","Вагинальные увлажнители, вагинальная эстрогенная терапия, изменения в образе жизни"
9,Трещина,"Боль, кровотечение, износ, деформация, трудное перемещение, потеря функции","Иммобилизация, хирургия, реабилитация"
10,Целлулит,"Красная, боль, нежность, износ, изменения кожи, расширение лимфатического узла","Антибиотики, тепловые компрессии, иммобилизация, отдых, лечение боли"
11,Нарушение регулировки глаз,"Двойное зрение, усталость глаз, плохое восприятие глубин, наклон головы","Очки, Пэтчинг-терапия, Визуальная терапия, инъекции ботокса, хирургическое вмешательство"
12,Головная боль после поясничных проколов,головная боль,"Эпидуральная пятна крови, консервативные меры"
13,Пилорный стеноз,"Хронический голод, потеря веса, обезвоживание, видимый перистальз, пассивная масса, фистуляция","Ультразвук, анализы крови, Пилоромиотомия"
14,Аденоидная кистическая карцинома,"Опухоль, опухоль, морщинистость лица, покалывание","Хирургия, радиационная терапия"
15,Плеоморфная аденома,"Безболезненная опухоль или опухоль, изменение лица",Хирургическая эксцизия
16,Опухоль варфина,"Безболезненная опухоль или опухоль, изменение лица",Хирургическая эксцизия
17,Карцинома мукоэпидермоида,"Опухоль, опухоль, боль при проглатывании и разговоре, слабость лица, паралич лица","Хирургия, радиационная терапия"
18,Карцинома ациничной клетки,"Опухоль, опухоль, изменения лица","Хирургия, радиационная терапия"
19,Мукоцеле,"Безболезненная жидкость, наполненная опухолью в пероральной полости","Наблюдение, хирургическое удаление при необходимости"
20,Остеохондроз,"Боль в суставах, жесткость, опухоль, ограниченный диапазон движения","Физическая терапия, обезболивающее, отдых, хирургия"
21,Сиалолитиаз,"Сознание, боль, нежность, трудности с едой","Теплые компрессии, стимуляция слюны, сиагоги, удаление камня"
22,Субмандибулярные камни,"Болезнь, боль, сухий рот, плохой вкус","Гидратация, стимуляция Салива, удаление камня"
23,Паротидные камни,"Болезнь, боль, сухий рот, плохой вкус","Гидратация, стимуляция Салива, удаление камня"
24,Периодические слюнные камни,Часто встречающиеся эпизоды образования камня,"Гидратация, стимуляция Салива, удаление камня"
25,Камни в трубах Уортона,"Болезнь, боль, сухий рот, плохой вкус","Гидратация, стимуляция Салива, удаление камня"
26,Свинки,"Распухшие слюнные железы (обычно паротиды), лихорадка, головная боль, усталость","Поддержка, обезболивающее, изоляция, вакцинация (МСО)"
27,Ангина Людвига,"Тяжелое опухоль пол рта, жар, трудности с глотанием, слюна","Внутривенные антибиотики, дыхательные пути, хирургические дренажные системы"
28,Мукоцеле,"Безболезненная опухоль, как правило, на нижней губе или полу рта","Наблюдение, хирургическое удаление при необходимости"
29,Абсцесс,"Сознание, боль, красность, лихорадка, образование гноя","Антибиотики, хирургические дренажные системы"
30,Синдром Шёгрена,"Сухой рот и глаза, усталость, боль в суставах, сухая кожа","Симптоматическое облегчение с искусственными слезами, заменители слюны, частые глотки воды, лекарства для стимулирования производства слюны, иммуномодилизующие препараты"
31,Глаукома с открытым угоном,"Постепенная потеря периферического обзора, обзора туннеля","Глаз падает до более низкого внутрикулярного давления (например, простагландские аналоги, бета-блокаторы, альфа-агонисты, углеводородные ингибиторы), пероральные препараты (например, углеводородные ангибиторы), лазерная трабекулопластика, хирургические операции (например, трабекулэктомия, глаукомные дренажные импланты)"
32,Глаукома углы,"Острая боль в глазах, головная боль, размытое зрение, галактики вокруг огней, тошнота и рвота","Лекарства (например, пероральная или внутривенная ацетазоламид, тематические бета-блокаторы, альфа-агонисты, простагландские аналоги), лазерная периферическая иридотомия, хирургические операции (например, трабекулэктомия, глаукома дренажные импланты)"
33,Обычная глаукома,"Постепенная потеря зрения, дефекты визуального поля","Глаз падает до более низкого внутрикулярного давления (например, простагландские аналоги, бета-блокаторы, альфа-агонисты, углеводородные ингибиторы), пероральные препараты (например, углеводородные ангибиторы), лазерная трабекулопластика, хирургические операции (например, трабекулэктомия, глаукомные дренажные импланты)"
34,Врожденная глюкома,"Глазки или туманные глаза, чрезмерные разрывы, чувствительность к свету","Хирургия (например, трабекулотомия, гониотомия) для создания нового дренажного пути, лекарств для снижения внутриокульного давления"
35,Вторичная глюкома,Границы в зависимости от основной причины,"Лечение основного состояния (например, коррекция лекарств, хирургия, лечение травматизма, удаление опухоли, борьба с воспалением)"
36,Пигментальная глюкома,"Просветленное зрение, галактики вокруг огней, боль в глазах","Глазные капли до более низкого внутрикулярного давления (например, простагландские аналоги, бета-блокаторы, альфа-агонисты, углеводородные ингибиторы), лазерная трабекулопластика, хирургические операции (например, трабекулэктомия, глаукома дренажные имплантаты)"
37,Эксфолиация Глаукома,"Повышенное внутрикулярное давление, потеря визуального поля","Глазные капли до более низкого внутрикулярного давления (например, простагландские аналоги, бета-блокаторы, альфа-агонисты, углеводородные ингибиторы), лазерная трабекулопластика, хирургические операции (например, трабекулэктомия, глаукома дренажные имплантаты)"
38,Окулярная гипертензия,Повышенное внутрикулярное давление без повреждения зрительного нерва,"Наблюдение с регулярным осмотром глаз, использование глазных капель для снижения внутрикулярного давления (в случае необходимости)"
39,Глаукома с низким коэффициентом трения,"Постепенная потеря зрения, дефекты визуального поля","Глаз падает до более низкого внутрикулярного давления (например, простагландские аналоги, бета-блокаторы, альфа-агонисты, углеводородные ингибиторы), пероральные препараты (например, углеводородные ангибиторы), лазерная трабекулопластика, хирургические операции (например, трабекулэктомия, глаукомные дренажные импланты)"
40,Анорексия Нервоза,"Чрезмерная потеря веса, боязнь набрать вес, искаженное изображение тела","Медицинский контроль, консультирование по вопросам питания, психотерапия (такие, как когнитивно-поведенческая терапия или семейная терапия), лекарства (в некоторых случаях), госпитализация (в тяжелых случаях), группы поддержки"
41,Булимия Нервоза,"Периодические эпизоды, связанные с едой, за которыми следует поведение чистки","Психотерапия (такие, как когнитивная и поведенческая терапия или диалектическая терапия), консультирование по вопросам питания, лекарства (в некоторых случаях), группы поддержки"
42,Нарушение питания,Периодические эпизоды едой без компенсационного поведения,"Психотерапия (такие, как когнитивная и поведенческая терапия или межличностная терапия), консультирование по вопросам питания, лекарства (в некоторых случаях), группы поддержки"
43,"Недопущение возникновения расстройств, связанных с потреблением продуктов питания (ARFID)","Недопущение или ограничение некоторых видов продуктов питания или целых групп продуктов питания, значительная потеря веса или неспособность набрать вес","Консультирование по вопросам питания, психотерапия (такие, как когнитивная поведенческая терапия или семейная терапия), медицинский контроль, экспозиция, профессиональная терапия"
44,Другие выявленные нарушения питания или питания (ОСФЕД),"Симптомы, которые не отвечают всем критериям для конкретного расстройства питания","Лечение основано на конкретных симптомах и может включать сочетание психотерапии, консультирования по вопросам питания, медицинского контроля и, при необходимости, медикаментов"
45,Орторексия Нервоза,"Навязчивый акцент на ""чистом"" питании, здоровом выборе продуктов питания","Психотерапия (такие, как когнитивно-поведенческая терапия или терапия принятия обязательств), просвещение по вопросам питания, борьба с искаженными представлениями, решение основополагающих проблем"
46,Пика,Постоянное потребление непродовольственных веществ,"Поведенческая терапия, устранение основных недостатков в питании, устранение любых медицинских осложнений, поддержка семьи"
47,Расстройство со смолой,Повторная регургитация и пережевка продуктов питания,"Поведенческая терапия (такие, как диафрагматическое дыхание), биофакультет, решение любых основных психологических или медицинских проблем, изменение рациона питания"
48,Переходная ишемическая атака,"Внезапное появление неврологических симптомов, решающих в течение 24 часов","Лекарства от таблеток, сонная эндартерэктомия, антикоагулирующие препараты, изменения в образе жизни"
